elapsed_secs,iter,best,incumbent,deviation,w0,w1,w2
1.00,7337,53581.0000,58630.0000,10715.902255,0.3333,0.3333,0.3333
2.00,15700,44637.0000,50603.0000,8926.903901,0.3333,0.3333,0.3333
3.00,24047,44637.0000,53560.0000,8926.655695,0.3333,0.3333,0.3333
4.00,32586,44637.0000,49780.0000,8926.407611,0.3333,0.3333,0.3333
5.00,40643,44637.0000,52394.0000,8926.159548,0.3333,0.3333,0.3333
6.00,48650,44637.0000,51660.0000,8925.911478,0.3333,0.3333,0.3333
7.00,56877,44637.0000,53060.0000,8925.663342,0.3333,0.3333,0.3333
8.00,65420,43843.0000,52582.0000,8766.650607,0.3333,0.3333,0.3333
9.00,74047,43843.0000,49624.0000,8766.407010,0.3333,0.3333,0.3333
10.00,82408,43733.0000,51439.0000,8744.169539,0.3333,0.3333,0.3333
11.00,91184,43733.0000,51756.0000,8743.926570,0.3333,0.3333,0.3333
12.00,99325,43733.0000,52314.0000,8743.683576,0.3333,0.3333,0.3333
13.00,107590,43733.0000,51754.0000,8743.440529,0.3333,0.3333,0.3333
14.00,116039,43733.0000,52232.0000,8743.197534,0.3333,0.3333,0.3333
15.00,124366,43733.0000,52008.0000,8742.954559,0.3333,0.3333,0.3333
16.00,132858,43733.0000,51850.0000,8742.711512,0.3333,0.3333,0.3333
17.00,141220,43733.0000,51925.0000,8742.468502,0.3333,0.3333,0.3333
18.01,149949,43733.0000,52359.0000,8742.225451,0.3333,0.3333,0.3333
19.01,158304,43733.0000,52397.0000,8741.982454,0.3333,0.3333,0.3333
20.01,167139,43733.0000,49918.0000,8741.739412,0.4732,0.2783,0.2485
21.01,174294,43733.0000,49299.0000,8741.496420,0.4732,0.2783,0.2485
22.01,181118,43733.0000,52111.0000,8741.253380,0.4732,0.2783,0.2485
23.01,187768,43733.0000,51586.0000,8741.010405,0.4732,0.2783,0.2485
24.01,194584,43733.0000,50807.0000,8740.767317,0.4732,0.2783,0.2485
25.01,201270,43733.0000,49731.0000,8740.524351,0.4732,0.2783,0.2485
26.01,207807,43733.0000,51952.0000,8740.281345,0.4732,0.2783,0.2485
27.01,214558,43733.0000,52211.0000,8740.038373,0.4732,0.2783,0.2485
28.01,221343,43733.0000,52070.0000,8739.795361,0.4732,0.2783,0.2485
29.01,228081,43733.0000,50196.0000,8739.552219,0.4732,0.2783,0.2485
30.01,234856,43733.0000,47109.0000,8739.309129,0.4732,0.2783,0.2485
31.01,241519,43733.0000,52335.0000,8739.066139,0.4732,0.2783,0.2485
32.01,248320,43733.0000,51641.0000,8738.823117,0.4732,0.2783,0.2485
33.01,255086,43733.0000,49841.0000,8738.580126,0.4732,0.2783,0.2485
34.01,261852,43733.0000,51627.0000,8738.337137,0.4732,0.2783,0.2485
35.01,268881,43733.0000,52232.0000,8738.094096,0.4732,0.2783,0.2485
36.01,275711,43733.0000,49768.0000,8737.851075,0.4732,0.2783,0.2485
37.01,282403,43733.0000,49007.0000,8737.608052,0.4732,0.2783,0.2485
38.01,289182,43733.0000,51689.0000,8737.365063,0.4732,0.2783,0.2485
39.01,295892,43733.0000,51499.0000,8737.122081,0.4732,0.2783,0.2485
40.01,302567,43733.0000,49820.0000,8736.879112,0.5729,0.2347,0.1924
41.01,308604,42930.0000,51379.0000,8576.219085,0.5729,0.2347,0.1924
42.01,314622,42930.0000,51321.0000,8575.980535,0.5729,0.2347,0.1924
43.01,320623,42930.0000,50725.0000,8575.741946,0.5729,0.2347,0.1924
44.01,326676,42930.0000,50296.0000,8575.503305,0.5729,0.2347,0.1924
45.01,332384,42930.0000,51236.0000,8575.264787,0.5729,0.2347,0.1924
46.01,338150,42930.0000,49905.0000,8575.026264,0.5729,0.2347,0.1924
47.01,344039,42930.0000,50143.0000,8574.787761,0.5729,0.2347,0.1924
48.01,349916,42930.0000,50692.0000,8574.549211,0.5729,0.2347,0.1924
49.01,355903,42930.0000,48821.0000,8574.310666,0.5729,0.2347,0.1924
50.01,361932,42930.0000,51479.0000,8574.072142,0.5729,0.2347,0.1924
51.01,367847,42930.0000,49879.0000,8573.833632,0.5729,0.2347,0.1924
52.01,373740,42930.0000,51039.0000,8573.595110,0.5729,0.2347,0.1924
53.01,379741,42930.0000,51132.0000,8573.356526,0.5729,0.2347,0.1924
54.01,385767,42930.0000,49130.0000,8573.118012,0.5729,0.2347,0.1924
