seconds,iterations,best_score,improvements,iters_per_sec
10,0,36865.0000,1,0
20,300000,25420.0000,7,15000
30,600000,20758.0000,11,20000
40,900000,20428.0000,14,22500
50,1200000,20410.0000,17,24000
60,1800000,20410.0000,17,30000
70,2400000,20410.0000,17,34285
80,2800000,20410.0000,17,35000
90,3400000,20410.0000,17,37777
100,4000000,20339.0000,19,40000
110,4600000,20339.0000,19,41818
120,5400000,20229.0000,21,45000
130,6000000,20229.0000,21,46153
140,6500000,20229.0000,21,46428
150,7200000,20229.0000,21,48000
160,7600000,20229.0000,21,47500
170,8300000,20229.0000,21,48823
180,8900000,20110.0000,23,49444
190,9500000,20110.0000,23,50000
200,10100000,20110.0000,23,50500
210,10800000,20108.0000,24,51428
220,11400000,20088.0000,25,51818
230,12100000,20088.0000,25,52608
240,12700000,20088.0000,25,52916
250,13300000,20047.0000,26,53200
260,13900000,20047.0000,26,53461
270,14500000,20047.0000,26,53703
280,15200000,20047.0000,26,54285
290,15700000,20047.0000,26,54137
300,16400000,20000.0000,28,54666
310,16900000,20000.0000,28,54516
320,17500000,20000.0000,28,54687
330,18100000,20000.0000,28,54848
340,18700000,20000.0000,28,55000
350,19400000,20000.0000,28,55428
360,19900000,20000.0000,28,55277
370,20400000,20000.0000,28,55135
381,21000000,19735.0000,30,55118
391,21600000,19632.0000,31,55242
401,22200000,19564.0000,33,55361
411,22800000,19564.0000,33,55474
421,23400000,19564.0000,33,55581
431,24000000,19564.0000,33,55684
441,24600000,19564.0000,33,55782
451,25200000,19564.0000,33,55875
461,25800000,19564.0000,33,55965
471,26500000,19564.0000,33,56263
481,27100000,19564.0000,33,56340
491,27700000,19564.0000,33,56415
501,28300000,19564.0000,33,56487
511,28900000,19564.0000,33,56555
521,29400000,19564.0000,33,56429
531,30100000,19563.0000,34,56685
541,30600000,19563.0000,34,56561
551,31300000,19563.0000,34,56805
561,31900000,19563.0000,34,56862
571,32500000,19563.0000,34,56917
581,33100000,19563.0000,34,56970
591,33800000,19563.0000,34,57191
601,34300000,19563.0000,34,57071
611,35000000,19563.0000,34,57283
621,35600000,19563.0000,34,57326
631,36200000,19563.0000,34,57369
641,36800000,19563.0000,34,57410
651,37400000,19563.0000,34,57450
661,38000000,19563.0000,34,57488
671,38600000,19563.0000,34,57526
681,39200000,19563.0000,34,57562
691,39800000,19563.0000,34,57597
701,40500000,19563.0000,34,57774
711,41100000,19563.0000,34,57805
721,41700000,19563.0000,34,57836
731,42300000,19563.0000,34,57865
742,42900000,19563.0000,34,57816
752,43500000,19563.0000,34,57845
762,44100000,19563.0000,34,57874
772,44600000,19563.0000,34,57772
782,45300000,19563.0000,34,57928
792,45800000,19563.0000,34,57828
802,46500000,19563.0000,34,57980
812,47000000,19563.0000,34,57881
822,47600000,19563.0000,34,57907
832,48100000,19563.0000,34,57812
842,48800000,19528.0000,35,57957
852,49400000,19528.0000,35,57981
862,49900000,19528.0000,35,57888
872,50600000,19527.0000,36,58027
882,51100000,19527.0000,36,57936
892,51700000,19527.0000,36,57959
902,52300000,19527.0000,36,57982
912,53000000,19527.0000,36,58114
2936,53400923,19527.0000,36,18188
2936,53400923,19527.0000,36,18188
