elapsed_secs,iter,best_score,incumbent_score,temp,w0,w1,w2
0.05,1000,1708.0000,2778.0000,1224.391361,1.0000,1.0000,1.0000
0.19,4000,1708.0000,2913.0000,1081.271887,1.0000,1.0000,1.0000
0.35,7000,1708.0000,2850.0000,947.178511,1.0000,1.0000,1.0000
0.41,8000,1708.0000,2307.0000,906.495262,1.0000,1.0000,1.0000
0.62,12000,1564.0000,3264.0000,766.687740,1.0000,1.0000,1.0000
0.67,13000,1564.0000,2485.0000,739.059448,1.0000,1.0000,1.0000
1.27,25000,1564.0000,2254.0000,467.344452,1.7685,0.6561,0.5753
1.36,26000,1564.0000,2666.0000,445.129716,1.7685,0.6561,0.5753
1.45,27000,1564.0000,3465.0000,422.658686,1.7685,0.6561,0.5753
1.79,31000,1564.0000,2896.0000,349.800561,1.7685,0.6561,0.5753
1.96,33000,1517.0000,2319.0000,318.417326,1.7685,0.6561,0.5753
2.04,34000,1517.0000,2940.0000,304.223572,1.7685,0.6561,0.5753
2.19,36000,1517.0000,2486.0000,277.289792,1.7685,0.6561,0.5753
2.36,38000,1517.0000,1608.0000,250.576392,1.7685,0.6561,0.5753
2.45,39000,1427.0000,1780.0000,239.838139,1.7685,0.6561,0.5753
2.62,41000,1427.0000,1870.0000,218.539226,1.7685,0.6561,0.5753
2.70,42000,1427.0000,1893.0000,207.797979,1.7685,0.6561,0.5753
2.85,44000,1427.0000,2216.0000,189.951371,1.7685,0.6561,0.5753
2.94,45000,1427.0000,1947.0000,180.452798,2.0586,0.4201,0.5212
3.02,46000,1427.0000,2303.0000,171.686556,2.0586,0.4201,0.5212
3.29,49000,1427.0000,2181.0000,148.083268,2.0586,0.4201,0.5212
4.14,59000,1427.0000,2032.0000,92.415528,2.0586,0.4201,0.5212
4.30,61000,1427.0000,1809.0000,83.546270,2.0586,0.4201,0.5212
4.39,62000,1427.0000,1574.0000,79.646923,2.0586,0.4201,0.5212
4.47,63000,1427.0000,1702.0000,75.399959,2.0586,0.4201,0.5212
4.62,65000,1427.0000,1898.0000,68.683751,2.3170,0.1467,0.5364
4.70,66000,1425.0000,1598.0000,65.255874,2.3170,0.1467,0.5364
4.85,68000,1425.0000,1526.0000,58.581770,2.3170,0.1467,0.5364
5.03,70000,1421.0000,1421.0000,52.975575,2.4680,0.0602,0.4718
5.27,73000,1421.0000,1564.0000,44.475777,2.4680,0.0602,0.4718
5.35,74000,1421.0000,1452.0000,41.936207,2.4680,0.0602,0.4718
5.53,76000,1421.0000,1485.0000,37.489437,2.4680,0.0602,0.4718
5.60,77000,1421.0000,1509.0000,35.430189,2.4680,0.0602,0.4718
5.67,78000,1421.0000,1429.0000,33.547731,2.4680,0.0602,0.4718
5.75,79000,1421.0000,1430.0000,31.714514,2.4680,0.0602,0.4718
5.82,80000,1421.0000,1430.0000,29.906624,2.5309,0.0366,0.4325
5.91,81000,1421.0000,1421.0000,28.134199,2.5309,0.0366,0.4325
5.99,82000,1421.0000,1430.0000,26.548988,2.5309,0.0366,0.4325
6.06,83000,1421.0000,1421.0000,25.095720,2.5309,0.0366,0.4325
6.15,84000,1421.0000,1429.0000,23.676980,2.5309,0.0366,0.4325
6.29,86000,1421.0000,1438.0000,21.128341,2.5309,0.0366,0.4325
6.45,88000,1421.0000,1438.0000,18.782548,2.5309,0.0366,0.4325
6.53,89000,1421.0000,1496.0000,17.694164,2.5309,0.0366,0.4325
6.60,90000,1421.0000,1421.0000,16.655521,2.5034,0.0288,0.4678
6.68,91000,1421.0000,1430.0000,15.756425,2.5034,0.0288,0.4678
6.82,93000,1421.0000,1430.0000,14.071643,2.5034,0.0288,0.4678
6.98,95000,1421.0000,1438.0000,12.459415,2.4590,0.0245,0.5165
7.06,96000,1421.0000,1438.0000,11.778591,2.4590,0.0245,0.5165
7.20,98000,1421.0000,1444.0000,10.519157,2.4590,0.0245,0.5165
7.27,99000,1421.0000,1430.0000,9.951322,2.4590,0.0245,0.5165
